Ticker,Name,Exchange,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL
600887,INNER MONGOLIA YILI INDUSTRIAL GRO,XSHG,0.07,46.41,"78,307","3,634,175","3,634,175",Consumer Staples,BP3R2V7
6881,CHINA GALAXY SECURITIES LTD H,XHKG,0.07,4.67,"773,724","3,613,291","3,613,291",Financials,B92NYF2
390,CHINA RAILWAY GROUP LTD H,XHKG,0.07,4.05,"891,904","3,612,211","3,612,211",Industrials,B297KM7
696,TRAVELSKY TECHNOLOGY LTD H,XHKG,0.07,16.48,"218,543","3,601,589","3,601,589",Information Technology,6321954
725,BOE TECHNOLOGY GROUP LTD A,XSHE,0.07,7.42,"481,894","3,577,364","3,577,364",Information Technology,BD5CPL7
601601,CHINA PACIFIC INSURANCE (GROUP) LT,XSHG,0.07,39.43,"90,441","3,566,503","3,566,503",Financials,BP3R2K6
763,ZTE CORP H,XHKG,0.07,22.75,"156,296","3,555,734","3,555,734",Information Technology,B04KP88
601899,ZIJIN MINING GROUP LTD A,XSHG,0.07,13.34,"266,178","3,551,608","3,551,608",Materials,BP3R400
6110,TOPSPORTS INTERNATIONAL HOLDINGS L,XHKG,0.07,12.02,"291,952","3,509,263","3,509,263",Consumer Discretionary,BJRFW26
601328,BANK OF COMMUNICATIONS LTD A,XSHG,0.07,5.92,"588,172","3,481,644","3,481,644",Financials,BP3R2G2
1888,KINGBOARD LAMINATES HOLDINGS LTD,XHKG,0.07,17.18,"202,616","3,480,943","3,480,943",Information Technology,B1HHFV6
1030,SEAZEN GROUP LTD,XHKG,0.06,7.75,"444,655","3,446,076","3,446,076",Real Estate,BMWYQP0
API,AGORA ADR INC,XNAS,0.06,341.46,"10,077","3,440,868","3,440,868",Information Technology,BMVLMK9
144,CHINA MERCHANTS PORT HOLDINGS LTD,XHKG,0.06,11.74,"292,358","3,432,283","3,432,283",Industrials,6416139
392,BEIJING ENTERPRISES HOLDINGS LTD,XHKG,0.06,28.95,"117,475","3,400,901","3,400,901",Utilities,6081690
VNET,21VIANET GROUP ADR REPRESENTING SI,XNAS,0.06,178.49,"18,969","3,385,762","3,385,762",Information Technology,B3Q0VS9
909,MING YUAN CLOUD GROUP HOLDINGS LTD,XHKG,0.06,39.1,"86,045","3,364,360","3,364,360",Information Technology,BMC5QM0
CSSE,CASH COLLATERAL USD CSFBI,-,0.06,776.04,"433,000","3,360,253","3,360,253",Cash and/or Derivatives,-
601668,CHINA STATE CONSTRUCTION ENGINEERI,XSHG,0.06,5.97,"562,166","3,354,980","3,354,980",Industrials,BP3R2Q2
1813,KWG GROUP HOLDINGS LTD,XHKG,0.06,11.18,"296,988","3,320,326","3,320,326",Real Estate,B1YBF00
493,GOME RETAIL HOLDINGS LTD,XHKG,0.06,1.25,"2,649,828","3,312,285","3,312,285",Consumer Discretionary,B01Z8S7
2777,GUANGZHOU R&F PROPERTIES LTD H,XHKG,0.06,9.67,"341,832","3,305,515","3,305,515",Real Estate,B19H8Y8
2500,VENUS MEDTECH HANGZHOU INC H,XHKG,0.06,72.1,"45,025","3,246,303","3,246,303",Health Care,BL6V047
600585,ANHUI CONCH CEMENT LTD A,XSHG,0.06,58.33,"55,291","3,225,295","3,225,295",Materials,BP3R2Z1
1209,CHINA RESOURCES MIXC LIFESTYLE SER,XHKG,0.06,45,"71,231","3,205,395","3,205,395",Real Estate,BMXWXT6
KC,KINGSOFT CLOUD HOLDINGS ADR REPRES,XNAS,0.06,263.85,"12,068","3,184,185","3,184,185",Information Technology,BM8R675
371,BEIJING ENTERPRISES WATER GROUP LT,XHKG,0.06,2.99,"1,059,500","3,167,905","3,167,905",Utilities,B01YCG0
1530,3SBIO INC,XHKG,0.06,10.52,"300,536","3,161,639","3,161,639",Health Care,BY9D3L9
300014,EVE ENERGY LTD A,XSHE,0.06,131.93,"23,664","3,121,890","3,121,890",Industrials,BD5C7G6
1359,CHINA CINDA ASSET MANAGEMENT LTD H,XHKG,0.06,1.64,"1,884,941","3,091,303","3,091,303",Financials,BGY6SV2
300124,SHENZHEN INOVANCE TECHNOLOGY LTD A,XSHE,0.06,73.99,"41,737","3,088,242","3,088,242",Industrials,BD5CMN8
DADA,DADA NEXUS ADS REPRESENTING LTD,XNAS,0.06,244.84,"12,429","3,043,124","3,043,124",Consumer Discretionary,BMH5F39
839,CHINA EDUCATION GROUP HOLDINGS LTD,XHKG,0.06,18.44,"164,819","3,039,262","3,039,262",Consumer Discretionary,BF13433
1516,SUNAC SERVICES HOLDINGS LTD,XHKG,0.06,23.3,"129,512","3,017,630","3,017,630",Real Estate,BLN9QR9
1995,EVER SUNSHINE LIFESTYLE SERVICES G,XHKG,0.06,18.86,"159,137","3,001,324","3,001,324",Industrials,BGWKSK5
2607,SHANGHAI PHARMACEUTICALS HOLDING L,XHKG,0.06,17.36,"172,304","2,991,197","2,991,197",Health Care,B4Q4CJ6
2883,CHINA OILFIELD SERVICES LTD H,XHKG,0.06,7.44,"398,978","2,968,396","2,968,396",Energy,6560995
2588,BOC AVIATION LTD,XHKG,0.06,68.3,"43,263","2,954,863","2,954,863",Industrials,BYZJV17
600016,CHINA MINSHENG BANKING CORP LTD A,XSHG,0.06,5.66,"519,894","2,945,045","2,945,045",Financials,BP3R2C8
GOTU,GAOTU TECHEDU ADR REPRESENTING I,XNYS,0.06,113.77,"25,790","2,934,063","2,934,063",Consumer Discretionary,BK1VBN1
3998,BOSIDENG INTERNATIONAL LTD,XHKG,0.06,4.02,"729,880","2,934,118","2,934,118",Consumer Discretionary,B24FZ32
601818,CHINA EVERBRIGHT BANK LTD A,XSHG,0.05,4.65,"629,955","2,926,635","2,926,635",Financials,BP3R2P1
3360,FAR EAST HORIZON LTD,XHKG,0.05,8.26,"354,207","2,925,750","2,925,750",Financials,B63DLB5
2934,YUEXIU PROPERTY COMPANY LTD (TEMP),XHKG,0.05,9.47,"307,110","2,908,332","2,908,332",Real Estate,BMYMQK7
1060,ALIBABA PICTURES GROUP LTD,XHKG,0.05,1.06,"2,724,475","2,887,944","2,887,944",Communication,BPYM749
NOAH,NOAH HOLDINGS ADR REPRESENTING .5,XNYS,0.05,344.17,"8,246","2,838,057","2,838,057",Financials,B5MDP39
177,JIANGSU EXPRESSWAY LTD H,XHKG,0.05,9.87,"285,687","2,819,731","2,819,731",Industrials,6005504
600690,HAIER SMART HOME LTD A,XSHG,0.05,33.77,"83,129","2,807,256","2,807,256",Consumer Discretionary,BP3R3G9
1776,GF SECURITIES LTD H,XHKG,0.05,10.5,"265,416","2,786,868","2,786,868",Financials,BW4NKK8
600019,BAOSHAN IRON & STEEL LTD A,XSHG,0.05,9.73,"285,534","2,777,745","2,777,745",Materials,BP3R2Y0
600406,NARI TECHNOLOGY LTD A,XSHG,0.05,35.52,"77,215","2,742,414","2,742,414",Industrials,BP3R444
2027,FOCUS MEDIA INFORMATION TECHNOLOGY,XSHE,0.05,11.73,"232,246","2,724,175","2,724,175",Communication,BD5CND5
2357,AVICHINA INDUSTRY & TECHNOLOGY LTD,XHKG,0.05,5.4,"496,812","2,682,785","2,682,785",Industrials,6707899
600346,HENGLI PETROCHEMICAL LTD A,XSHG,0.05,31.19,"85,096","2,653,820","2,653,820",Materials,BFB4HL5
1157,ZOOMLION HEAVY INDUSTRY SCIENCE AN,XHKG,0.05,8.48,"310,898","2,636,415","2,636,415",Industrials,B544N70
538,YUNNAN BAIYAO GROUP LTD A,XSHE,0.05,133.18,"19,775","2,633,538","2,633,538",Health Care,BD5CP95
661,CHANGCHUN HIGH & NEW TECHNOLOGY IN,XSHE,0.05,493.67,"5,314","2,623,342","2,623,342",Health Care,BD5CDB3
3383,AGILE GROUP HOLDINGS LTD,XHKG,0.05,10.82,"241,133","2,609,059","2,609,059",Real Estate,B0PR2F4
873,SHIMAO SERVICES HOLDINGS LTD,XHKG,0.05,21.1,"123,440","2,604,584","2,604,584",Real Estate,BMF7054
2812,YUNNAN ENERGY NEW MATERIALS LTD A,XSHE,0.05,231.94,"11,200","2,597,699","2,597,699",Materials,BFCCR30
152,SHENZHEN INTERNATIONAL HOLDINGS LT,XHKG,0.05,11.34,"227,333","2,577,956","2,577,956",Industrials,BJVBTY1
3808,SINOTRUK (HONG KONG) LTD,XHKG,0.05,16.78,"153,164","2,570,092","2,570,092",Industrials,B296ZH4
300759,PHARMARON BEIJING LTD A,XSHE,0.05,240.64,"10,600","2,550,727","2,550,727",Health Care,BK4XYC4
200596,ANHUI GUJING DISTILLERY LTD B,XSHE,0.05,109.51,"23,230","2,543,917","2,543,917",Consumer Staples,6026691
3311,CHINA STATE CONSTRUCTION INTERNATI,XHKG,0.05,5.96,"425,039","2,533,232","2,533,232",Industrials,B0BM5T8
600438,TONGWEI LTD A,XSHG,0.05,43.97,"57,316","2,520,253","2,520,253",Consumer Staples,BP3RCK6
220,UNI-PRESIDENT LTD,XHKG,0.05,8.49,"296,881","2,520,520","2,520,520",Consumer Staples,B29MKF5
600104,SAIC MOTOR CORP LTD A,XSHG,0.05,24.15,"104,160","2,515,547","2,515,547",Consumer Discretionary,BP3R2D9
6808,SUN ART RETAIL GROUP LTD,XHKG,0.05,5.95,"422,563","2,514,250","2,514,250",Consumer Staples,B3MPN59
1199,COSCO SHIPPING PORTS LTD,XHKG,0.05,6.48,"386,181","2,502,453","2,502,453",Industrials,6354251
2493,RONGSHENG PETRO CHEMICAL LTD A,XSHE,0.05,21.34,"116,884","2,493,912","2,493,912",Materials,BD5CL20
600048,POLY DEVELOPMENTS AND HOLDINGS GRO,XSHG,0.05,15.85,"156,645","2,483,432","2,483,432",Real Estate,BP3R336
2669,CHINA OVERSEAS PROPERTY HOLDINGS L,XHKG,0.05,8,"301,692","2,413,536","2,413,536",Real Estate,BYYMZN7
OCFT,ONECONNECT FINANCIAL TECHNOLOGY AD,XNYS,0.04,97.16,"24,354","2,366,240","2,366,240",Information Technology,BKM53G9
1238,POWERLONG REAL ESTATE HOLDINGS LTD,XHKG,0.04,7.65,"304,555","2,329,846","2,329,846",Real Estate,B4LL9N5
CD,CHINDATA GROUP HOLDING ADR REPRESE,XNAS,0.04,128.9,"18,065","2,328,583","2,328,583",Information Technology,BMC5RM7
600763,TOPCHOICE MEDICAL CORPORATION INC,XSHG,0.04,468.85,"4,952","2,321,736","2,321,736",Health Care,BYYFJH8
601658,POSTAL SAVINGS BANK OF CHINA LTD A,XSHG,0.04,6.39,"358,967","2,294,697","2,294,697",Financials,BL61XF9
600196,SHANGHAI FOSUN PHARMACEUTICAL (GRO,XSHG,0.04,82.34,"27,859","2,293,864","2,293,864",Health Care,BP3R3M5
6818,CHINA EVERBRIGHT BANK LTD H,XHKG,0.04,3.23,"706,186","2,280,981","2,280,981",Financials,B5NRRJ0
600028,CHINA PETROLEUM & CHEMICAL CORP A,XSHG,0.04,5.65,"399,923","2,260,594","2,260,594",Energy,BP3R240
1055,CHINA SOUTHERN AIRLINES LTD H,XHKG,0.04,5.2,"433,046","2,251,839","2,251,839",Industrials,6013693
753,AIR CHINA LTD H,XHKG,0.04,6.11,"368,485","2,251,443","2,251,443",Industrials,B04KNF1
300413,MANGO EXCELLENT MEDIA LTD A,XSHE,0.04,84.68,"26,466","2,241,126","2,241,126",Communication,BD5CDT1
63,ZTE CORP A,XSHE,0.04,39.36,"56,835","2,237,128","2,237,128",Information Technology,BD5CPY0
6865,FLAT GLASS GROUP LTD H,XHKG,0.04,26.2,"84,993","2,226,817","2,226,817",Information Technology,BYQ9774
300274,SUNGROW POWER SUPPLY LTD A,XSHE,0.04,118.72,"18,728","2,223,316","2,223,316",Industrials,BD5CGB4
601088,CHINA SHENHUA ENERGY LTD A,XSHG,0.04,24.96,"88,740","2,215,262","2,215,262",Energy,BP3R262
694,BEIJING CAPITAL INTERNATIONAL AIRP,XHKG,0.04,5.34,"409,001","2,184,065","2,184,065",Industrials,6208422
3799,DALI FOODS GROUP LTD,XHKG,0.04,4.68,"466,003","2,180,894","2,180,894",Consumer Staples,BYQ9796
1818,ZHAOJIN MINING INDUSTRY LTD H,XHKG,0.04,8.2,"265,767","2,179,289","2,179,289",Materials,B1H5082
600893,AECC AVIATION POWER LTD A,XSHG,0.04,62.98,"34,185","2,152,933","2,152,933",Industrials,BP3R518
601229,BANK OF SHANGHAI LTD A,XSHG,0.04,10.01,"214,526","2,146,813","2,146,813",Financials,BD8P9J9
300782,MAXSCEND MICROELECTRONICS LTD A,XSHE,0.04,578.6,"3,707","2,144,871","2,144,871",Information Technology,BK4XS11
601988,BANK OF CHINA LTD A,XSHG,0.04,3.74,"567,369","2,119,711","2,119,711",Financials,BP3R239
2371,NAURA TECHNOLOGY GROUP LTD A,XSHE,0.04,265.74,"7,971","2,118,243","2,118,243",Information Technology,BD5LYF1
631,SANY HEAVY EQUIPMENT INTERNATIONAL,XHKG,0.04,9.14,"230,694","2,108,543","2,108,543",Industrials,B56HH42
BNR,BURNING ROCK BIOTECH ADR REPRESENT,XNAS,0.04,230.25,"9,148","2,106,337","2,106,337",Health Care,BMBKH34
600660,FUYAO GLASS INDUSTRY GROUP LTD A,XSHG,0.04,70.34,"29,918","2,104,485","2,104,485",Consumer Discretionary,BP3R6K4
600703,SANAN OPTOELECTRONICS LTD A,XSHG,0.04,33.5,"62,610","2,097,624","2,097,624",Information Technology,BP3R3R0
3331,VINDA INTERNATIONAL LTD,XHKG,0.04,25.3,"82,726","2,092,968","2,092,968",Consumer Staples,B1Z7648
667,CHINA EAST EDUCATION HOLDINGS LTD,XHKG,0.04,15.64,"133,556","2,088,816","2,088,816",Consumer Discretionary,BJGSS62
165,CHINA EVERBRIGHT LTD,XHKG,0.04,9.72,"212,854","2,068,941","2,068,941",Financials,6455143
2241,GOERTEK INC A,XSHE,0.04,45.77,"45,186","2,068,002","2,068,002",Information Technology,BD5CNT1
2311,GUANGDONG HAID GROUP LTD A,XSHE,0.04,94.54,"21,813","2,062,225","2,062,225",Consumer Staples,BD5CJ60
166,SHENWAN HONGYUAN GROUP LTD A,XSHE,0.04,5.64,"364,285","2,054,729","2,054,729",Financials,BD5CPV7
2230,IFLYTEK LTD A,XSHE,0.04,69.99,"29,243","2,046,718","2,046,718",Information Technology,BD5CNN5
601211,GUOTAI JUNAN SECURITIES LTD A,XSHG,0.04,20.38,"100,235","2,042,626","2,042,626",Financials,BYQDMZ9
601169,BANK OF BEIJING LTD A,XSHG,0.04,6.02,"339,384","2,041,894","2,041,894",Financials,BP3R2W8
6169,CHINA YUHUA EDUCATION CORPORATION,XHKG,0.04,7.45,"272,695","2,031,578","2,031,578",Consumer Discretionary,BYWPGC4
902,HUANENG POWER INTERNATIONAL INC H,XHKG,0.04,2.91,"691,862","2,013,318","2,013,318",Utilities,6099671
601688,HUATAI SECURITIES LTD A,XSHG,0.04,19.44,"103,143","2,005,550","2,005,550",Financials,BP3R3B4
600588,YONYOU NETWORK TECHNOLOGY LTD A,XSHG,0.04,43.21,"45,828","1,980,091","1,980,091",Information Technology,BP3R6C6
601100,JIANGSU HENGLI HYDRAULIC LTD A,XSHG,0.04,94.27,"20,927","1,972,877","1,972,877",Industrials,BP3RFJ6
3320,CHINA RESOURCES PHARMACEUTICAL GRO,XHKG,0.04,5.39,"363,995","1,961,933","1,961,933",Health Care,BYNGG26
600926,BANK OF HANGZHOU LTD A,XSHG,0.04,18.62,"105,265","1,959,984","1,959,984",Financials,BYW5MZ9
1208,MMG LTD,XHKG,0.04,3.85,"505,907","1,947,742","1,947,742",Materials,6728793
1638,KAISA GROUP HOLDINGS LTD,XHKG,0.04,3.3,"588,467","1,941,941","1,941,941",Real Estate,B58RBK4
600919,BANK OF JIANGSU CORPORATION LTD A,XSHG,0.04,9.3,"208,620","1,940,937","1,940,937",Financials,BYW5MY8
3883,CHINA AOYUAN GROUP LTD,XHKG,0.04,7.38,"262,917","1,940,327","1,940,327",Real Estate,BJGS0Q6
2208,XINJIANG GOLDWIND SCIENCE AND TECH,XHKG,0.04,12.94,"149,687","1,936,950","1,936,950",Industrials,B59GZJ7
RLX,RLX TECHNOLOGY AMERICAN DEPOSITARY,XNYS,0.04,73.57,"26,327","1,936,840","1,936,840",Consumer Staples,BMBKL76
552,CHINA COMMUNICATIONS SERVICES CORP,XHKG,0.04,3.51,"550,859","1,933,515","1,933,515",Industrials,B1HVJ16
600999,CHINA MERCHANTS SECURITIES LTD A,XSHG,0.04,23.35,"82,598","1,928,681","1,928,681",Financials,BP3R303
1787,SHANDONG GOLD MINING LTD H,XHKG,0.04,15.56,"123,693","1,924,663","1,924,663",Materials,BFD2096
576,ZHEJIANG EXPRESSWAY LTD H,XHKG,0.04,6.72,"285,127","1,916,053","1,916,053",Industrials,6990763
300433,LENS TECHNOLOGY LTD A,XSHE,0.04,32.81,"58,018","1,903,664","1,903,664",Information Technology,BD5CP17
HUYA,HUYA ADR INC,XNYS,0.04,124.48,"15,203","1,892,421","1,892,421",Communication,BF4NQP6
601989,CHINA SHIPBUILDING INDUSTRY LTD A,XSHG,0.04,4.96,"379,839","1,884,443","1,884,443",Industrials,BP3R2R3
300999,YIHAI KERRY ARAWANA HOLDINGS LTD A,XSHE,0.04,111.32,"16,858","1,876,580","1,876,580",Consumer Staples,BMQBTV4
2314,LEE & MAN PAPER MANUFACTURING LTD,XHKG,0.04,6.39,"291,899","1,865,235","1,865,235",Materials,6693772
338,WEICHAI POWER LTD A,XSHE,0.03,20.86,"89,080","1,858,527","1,858,527",Industrials,BD5CQ03
300498,WENS FOODSTUFF GROUP LTD,XSHE,0.03,17.31,"107,041","1,852,825","1,852,825",Consumer Staples,BD5CPT5
600015,HUA XIA BANK LTD A,XSHG,0.03,7.65,"241,872","1,851,293","1,851,293",Financials,BP3R2T5
100,TCL TECHNOLOGY GROUP CORP A,XSHE,0.03,9.28,"195,931","1,818,130","1,818,130",Consumer Discretionary,BD5CP28
9668,CHINA BOHAI BANK LTD H H,XHKG,0.03,3.3,"548,908","1,811,396","1,811,396",Financials,BMQ8Q14
2821,ASYMCHEM LABORATORIES (TIANJIN) LT,XSHE,0.03,481.56,"3,732","1,797,183","1,797,183",Health Care,BD6V5C4
603799,ZHEJIANG HUAYOU COBALT LTD A,XSHG,0.03,118.98,"14,989","1,783,436","1,783,436",Materials,BFF5BV2
2005,SSY GROUP LTD,XHKG,0.03,5.16,"343,795","1,773,982","1,773,982",Health Care,BYP9J68
600837,HAITONG SECURITIES LTD CLASS A,XSHG,0.03,14.46,"119,857","1,733,005","1,733,005",Financials,BP3R2S4
3900,GREENTOWN CHINA LTD,XHKG,0.03,8.87,"192,750","1,709,693","1,709,693",Real Estate,B17N9P6
786,BEIJING NEW BUILDING MATERIALS PUB,XSHE,0.03,55.02,"30,813","1,695,381","1,695,381",Industrials,BD5CJ26
300601,SHENZHEN KANGTAI BIOLOGICAL PRODUC,XSHE,0.03,203.78,"8,213","1,673,676","1,673,676",Health Care,BFY8HT2
625,CHONGQING CHANGAN AUTOMOBILE LTD A,XSHE,0.03,28.25,"58,878","1,663,347","1,663,347",Consumer Discretionary,BD5CP62
601336,NEW CHINA LIFE INSURANCE LTD A,XSHG,0.03,58.07,"28,608","1,661,159","1,661,159",Financials,BP3R3F8
2709,GUANGZHOU TINCI MATERIALS TECHNOLO,XSHE,0.03,120.09,"13,726","1,648,312","1,648,312",Materials,BD5LR63
2129,TIANJIN ZHONGHUAN SEMICONDUCTOR LT,XSHE,0.03,35.93,"45,727","1,642,926","1,642,926",Information Technology,BD5CMT4
2460,GANFENG LITHIUM LTD A,XSHE,0.03,150.91,"10,887","1,642,948","1,642,948",Materials,BD5CB19
601155,SEAZEN HOLDINGS LTD A,XSHG,0.03,54.59,"29,638","1,617,788","1,617,788",Real Estate,BZ3F6M0
3618,CHONGQING RURAL COMMERCIAL BANK LT,XHKG,0.03,3.27,"494,470","1,616,917","1,616,917",Financials,B4Q1Y57
2799,CHINA HUARONG ASSET MANAGEMENT LTD,XHKG,0.03,0.77,"2,101,333","1,607,520","1,607,520",Financials,BYNK383
600745,WINGTECH TECHNOLOGY LTD A,XSHG,0.03,112.45,"14,288","1,606,613","1,606,613",Information Technology,BK4PZC7
6049,POLY PROPERTY SERVICES LTD H,XHKG,0.03,59.6,"26,680","1,590,128","1,590,128",Real Estate,BHR0FS4
6158,ZHENRO PROPERTIES GROUP LTD,XHKG,0.03,4.91,"323,820","1,589,956","1,589,956",Real Estate,BDRHD05
895,HENAN SHUANGHUI INVESTMENT & DEVEL,XSHE,0.03,41.35,"38,218","1,580,357","1,580,357",Consumer Staples,BD5CP84
601225,SHAANXI COAL INDUSTRY LTD A,XSHG,0.03,14.92,"105,919","1,580,299","1,580,299",Energy,BS7K5P8
601633,GREAT WALL MOTOR LTD A,XSHG,0.03,53.74,"29,400","1,579,833","1,579,833",Consumer Discretionary,BP3R325
2049,UNIGROUP GUOXIN MICROELECTRONICS L,XSHE,0.03,170.31,"9,058","1,542,622","1,542,622",Information Technology,BD5CL75
601857,PETROCHINA LTD A,XSHG,0.03,6.3,"244,312","1,538,057","1,538,057",Energy,BP3R206
601138,FOXCONN INDUSTRIAL INTERNET LTD A,XSHG,0.03,15.16,"101,313","1,536,156","1,536,156",Information Technology,BG20N99
157,ZOOMLION HEAVY INDUSTRY SCIENCE AN,XSHE,0.03,11.74,"128,619","1,510,222","1,510,222",Industrials,BD5CPZ1
2050,ZHEJIANG SANHUA INTELLIGENT CONTRO,XSHE,0.03,26.3,"57,374","1,508,810","1,508,810",Industrials,BD5CDC4
300529,JAFRON BIOMEDICAL CO LTD A,XSHE,0.03,107.9,"13,968","1,507,094","1,507,094",Health Care,BFY8H03
300454,SANGFOR TECHNOLOGIES INC A,XSHE,0.03,332.31,"4,536","1,507,372","1,507,372",Information Technology,BHQPS70
601066,CHINA SECURITIES LTD A,XSHG,0.03,37.49,"40,105","1,503,688","1,503,688",Financials,BDZRFN4
300142,WALVAX BIOTECHNOLOGY LTD A,XSHE,0.03,77.39,"19,260","1,490,518","1,490,518",Health Care,BD5CG36
603833,OPPEIN HOME GROUP INC A,XSHG,0.03,182.78,"8,086","1,477,915","1,477,915",Consumer Discretionary,BFF1YZ5
601390,CHINA RAILWAY GROUP LTD A,XSHG,0.03,6.45,"227,337","1,467,040","1,467,040",Industrials,BP3R3D6
600886,SDIC POWER HOLDINGS LTD A,XSHG,0.03,11.75,"124,394","1,462,121","1,462,121",Utilities,BP3R433
603993,CHINA MOLYBDENUM LTD A,XSHG,0.03,6.61,"218,769","1,446,247","1,446,247",Materials,BP3R574
600111,CHINA NORTHERN RARE EARTH (GROUP),XSHG,0.03,25.29,"57,145","1,445,255","1,445,255",Materials,BP3R370
603486,ECOVACS ROBOTICS LTD A,XSHG,0.03,234.34,"6,092","1,427,594","1,427,594",Consumer Discretionary,BDFWW61
2179,AVIC JONHON OPTRONIC TECHNOLOGY LT,XSHE,0.03,91.08,"15,540","1,415,446","1,415,446",Information Technology,BD5CHR7
300408,CHAOZHOU THREE-CIRCLE (GROUP) LTD,XSHE,0.03,45.14,"30,877","1,393,654","1,393,654",Information Technology,BD5CLT7
600760,AVIC SHENYANG AIRCRAFT LTD A,XSHG,0.03,91.64,"15,164","1,389,660","1,389,660",Industrials,BF2DZ39
900932,SHANGHAI LUJIAZUI FINANCE & TRADE,XSHG,0.03,7.28,"190,212","1,384,602","1,384,602",Real Estate,6798666
601600,ALUMINUM CORPORATION OF CHINA CORP,XSHG,0.03,6.61,"208,750","1,380,013","1,380,013",Materials,BP3R4D3
603369,JIANGSU KINGS LUCK BREWERY LTD A,XSHG,0.03,66.58,"20,638","1,374,109","1,374,109",Consumer Staples,BTFRHZ2
2380,CHINA POWER INTERNATIONAL DEVELOPM,XHKG,0.03,1.69,"812,350","1,372,872","1,372,872",Utilities,B02ZKQ8
596,ANHUI GUJING DISTILLERY LTD A,XSHE,0.03,276.56,"4,942","1,366,778","1,366,778",Consumer Staples,BD5M1G4
2001,ZHEJIANG NHU LTD A,XSHE,0.03,37.34,"36,096","1,347,684","1,347,684",Health Care,BD5CH66
601838,BANK OF CHENGDU LTD A,XSHG,0.02,16.35,"81,317","1,329,632","1,329,632",Financials,BFYQHF2
600704,WUCHAN ZHONGDA GROUP LTD A,XSHG,0.02,9.87,"134,491","1,327,938","1,327,938",Consumer Discretionary,BP3RFD0
768,AVIC XIAN AIRCRAFT INDUSTRY GROUP,XSHE,0.02,31.55,"42,039","1,326,334","1,326,334",Industrials,BD5CPB7
DOYU,DOUYU INTERNATIONAL HOLDINGS ADR L,XNAS,0.02,62.24,"21,271","1,323,873","1,323,873",Communication,BJVJP36
601628,CHINA LIFE INSURANCE LTD A,XSHG,0.02,40.39,"32,726","1,321,896","1,321,896",Financials,BP3R251
776,GF SECURITIES LTD A,XSHE,0.02,18.63,"70,872","1,320,463","1,320,463",Financials,BD5CQ36
1979,CHINA MERCHANTS SHEKOU INDUSTRIAL,XSHE,0.02,13.6,"95,915","1,304,225","1,304,225",Real Estate,BD5CPM8
600989,NINGXIA BAOFENG ENERGY GROUP LTD A,XSHG,0.02,16.92,"76,700","1,297,866","1,297,866",Materials,BK4XS99
603899,SHANGHAI M&G STATIONERY INC A,XSHG,0.02,99.77,"12,887","1,285,725","1,285,725",Industrials,BZ0D285
600741,HUAYU AUTOMOTIVE SYSTEMS LTD A,XSHG,0.02,30.68,"41,826","1,283,085","1,283,085",Consumer Discretionary,BP3R4T9
69,SHENZHEN OVERSEAS CHINESE TOWN LTD,XSHE,0.02,9.69,"132,121","1,280,498","1,280,498",Consumer Discretionary,BD5CP51
300628,YEALINK NETWORK TECHNOLOGY LTD A,XSHE,0.02,97.65,"13,000","1,269,403","1,269,403",Information Technology,BFCCR07
600132,CHONGQING BREWERY LTD A,XSHG,0.02,208.6,"6,079","1,268,075","1,268,075",Consumer Staples,BP3RCZ1
2841,GUANGZHOU SHIYUAN ELECTRONIC TECHN,XSHE,0.02,153.09,"8,210","1,256,890","1,256,890",Information Technology,BFCCR41
603659,SHANGHAI PUTAILAI NEW ENERGY TECHN,XSHG,0.02,145.29,"8,535","1,240,075","1,240,075",Materials,BF2DZJ5
601009,BANK OF NANJING LTD A,XSHG,0.02,12.36,"99,429","1,228,988","1,228,988",Financials,BP3R529
600547,SHANDONG GOLD-MINING LTD A,XSHG,0.02,24.65,"49,325","1,215,769","1,215,769",Materials,BP3R5D0
603986,GIGA DEVICE SEMICONDUCTOR (BEIJING,XSHG,0.02,171.03,"7,072","1,209,544","1,209,544",Information Technology,BHWLWF8
600570,HUNDSUN TECHNOLOGIES INC A,XSHG,0.02,106.5,"11,272","1,200,482","1,200,482",Information Technology,BP3R6B5
604,SHENZHEN INVESTMENT LTD,XHKG,0.02,2.59,"461,953","1,196,458","1,196,458",Real Estate,6535261
876,NEW HOPE LIUHE LTD A,XSHE,0.02,16.87,"70,886","1,196,046","1,196,046",Consumer Staples,BD5CNF7
799,JIUGUI LIQUOR LTD A,XSHE,0.02,288.69,"4,124","1,190,573","1,190,573",Consumer Staples,BD73KS0
601360,360 SECURITY TECHNOLOGY INC A,XSHG,0.02,15.41,"77,214","1,189,488","1,189,488",Information Technology,BDF57C1
300496,THUNDER SOFTWARE TECHNOLOGY LTD A,XSHE,0.02,181.95,"6,538","1,189,588","1,189,588",Information Technology,BD5CG03
600600,TSINGTAO BREWERY LTD A,XSHG,0.02,130.49,"9,059","1,182,148","1,182,148",Consumer Staples,BP3R499
300595,OVCTEK CHINA INC A,XSHE,0.02,129.71,"9,085","1,178,378","1,178,378",Health Care,BHQPSJ2
603737,SKSHU PAINT CO LTD A,XSHG,0.02,195.24,"6,029","1,177,127","1,177,127",Materials,BYV1VL7
300316,ZHEJIANG JINGSHENG MECHANICAL & EL,XSHE,0.02,53.13,"22,037","1,170,811","1,170,811",Information Technology,BD5M1Y2
